province	Colombia	#416DCE
province	Costa Rica	#4273CE
province	Croatia	#4379CD
province	Czech Republic	#457FCB
province	Democratic Republic of the Congo	#4784C8
province	Denmark	#4988C5
province	Ecuador	#4B8DC2
province	Egypt	#4D92BF
province	United Kingdom	#4F96BB
province	Estonia	#529AB6
province	Finland	#549DB2
province	Gambia	#57A1AD
province	Georgia	#5AA4A9
province	Germany	#5CA8A4
province	Ghana	#60AA9F
province	Greece	#63AC9A
province	Hong Kong	#67AE94
province	Hungary	#6AB18F
province	Iceland	#6DB38A
province	India	#71B485
province	India	#76B680
province	Indonesia	#7AB77B
province	Iran	#7EB876
province	Ireland	#82BA72
province	Israel	#86BB6D
province	Italy	#8BBB69
province	Japan	#90BC65
province	Jordan	#94BD61
province	Kazakhstan	#99BD5D
province	South Korea	#9EBE5A
province	Kuwait	#A2BE57
province	Latvia	#A7BE54
province	Latvia	#ACBD51
province	Lithuania	#B1BD4E
province	Luxembourg	#B5BD4C
province	Malaysia	#BABC4A
province	Nepal	#BEBB48
province	Netherlands	#C3BA46
province	New Zealand	#C7B944
province	Nigeria	#CBB842
province	Norway	#CFB541
province	Pakistan	#D2B340
province	Panama	#D5B03F
province	Peru	#D9AE3E
province	Philippines	#DCAB3C
province	Poland	#DEA73B
province	Portugal	#E0A33A
province	Qatar	#E29E39
province	Russia	#E39A38
province	Saudi Arabia	#E59637
province	Senegal	#E69036
province	Singapore	#E68935
province	Slovakia	#E68334
province	Slovenia	#E67D33
province	South Africa	#E67731
province	Spain	#E66F30
province	Sri Lanka	#E4672F
province	Sweden	#E3602D
province	Switzerland	#E2582B
province	Taiwan	#E1502A
province	Thailand	#E04828
province	Turkey	#DF4027
province	United Arab Emirates	#DE3826
province	Uruguay	#DC3024
province	Vietnam	#DB2823

