type	id	lat	long
rta	J9E	46.3741	-75.9823
rta	J9H	45.3958	-75.8259
rta	J9J	45.4202	-75.7748
rta	J9L	46.5442	-75.4972
rta	J9P	48.1068	-77.7833
rta	J9T	48.5837	-78.1002
rta	J9V	47.3288	-79.441
rta	J9X	48.25	-79.0253
rta	J9Y	48.8054	-79.1991
rta	J9Z	48.8131	-79.2026
rta	Argentina	-37.052315	-64.86914200000001
rta	Asia	30.451097999999998	86.654576
rta	Austria	47.5162	14.5501
rta	Australia	-27.055937	122.236663
rta	Croatia	45.1	15.2
rta	Denmark	56.2639	9.5018
rta	Democratic Republic of the Congo	-4.0383	21.7587
rta	Ecuador	-1.0541	-78.1489
rta	Egypt	26.8206	30.8025
rta	England	52.3555	-1.1743
rta	Georgia	41.989378	43.597463
rta	Ghana	7.811417	-1.089272
rta	Iceland	64.90614000000001	-18.4826
rta	Iran	34.5732	51.876000000000005
rta	Israel	31.217736	34.903129
rta	Luxembourg	49.755428	6.119486
rta	Norway	61.3109	8.73701
rta	Panama	8.98333	-79.5166
rta	Peru	-9.650468	-75.328211
rta	Philippines	11.383086	123.52186200000001
rta	Sri Lanka	7.8731	80.7718
rta	Turkey	39.046746	36.767068
rta	Africa	4.070194	21.824559
rta	Europe	49.646237	10.799453999999999
rta	North America	28.2367447	-97.738017
rta	Oceania	-25.0562891	152.008576
rta	South America	-13.083583	-58.470721
rta	inde	20.593684	78.96288
rta	états-unis	37.09024	-95.712891
rta	dominique	15.414999	-61.370976
rta	rép. dominicaine	18.735692999999998	-70.162651
rta	suisse	46.818188	8.227511999999999
rta	royaume-uni	55.378051	-3.435973
rta	cuba	21.521757	-77.78116700000001
rta	Cuba	21.521757	-77.78116700000001
rta	australie	-25.274398	133.775136
rta	puerto rico	18.220833	-66.590149
rta	émirat arabes unis	23.424076	53.847818000000004
rta	martinique	14.641528	-61.024174
rta	guadeloupe	16.995971	-62.067641
rta	mexique	23.634501	-102.552784
rta	costa rica	9.748917	-83.753428
rta	colombie	4.570868	-74.297333
rta	jamaìque	18.109581	-77.297508
rta	cameroun	7.369722	12.354722
rta	thailande	15.870032	100.992541
rta	afrique du sud	-30.559482	22.937506
rta	haiti	18.971187	-72.28521500000001
rta	iles vierges (é-u)	18.335765	-64.896335
rta	guatemala	15.783470999999999	-90.23075899999999
rta	nouvelle-zélande	-40.900557	174.88597099999998
rta	indonésie	-0.789275	113.921327
rta	aruba	12.52111	-69.968338
rta	pologne	51.919438	19.145135999999997
rta	republique tchèque	49.817492	15.472961999999999
rta	iles turques-caiques	21.694025	-71.797928
rta	zimbabwe	-19.015438	29.154857
rta	jordanie	30.585164000000002	36.238414
rta	argentine	-38.416097	-63.616671999999994
rta	sénégal	14.497401000000002	-14.452361999999999
rta	iraq	33.223191	43.679291
rta	algerie	28.033886	1.6596259999999998
rta	maroc	31.791702	-7.09262
rta	cambodge	12.565679	104.990963
rta	Canada	61.066692	-107.991707
rta	Aargau	47.420629	8.172097
rta	Aatalunya	41.670376	1.657348
rta	Abruzzo	42.192	13.7289
rta	Afyon	38.752653	30.553660999999998
rta	Aichi	35.067543	137.33406100000002
rta	Aksaray	38.44611	33.878215999999995
rta	Alagoas	-9.74863	-36.417626
rta	Alken	50.877283	5.289834
rta	Amazonas State	-5.423668	-64.567836
rta	Andalusia	37.5443	-4.7278
rta	Andel	51.7851	5.0549
rta	Andenne	50.487207	5.056619
rta	Anderlecht	50.829058	4.29586
rta	Anhui	31.754331	117.211441
rta	Ankara	39.949377	32.854735999999995
rta	Antioquia	6.709191000000001	-75.484721
rta	Antwerp	51.225698	4.420885
rta	Arizona	34.220707	-111.65746200000001
rta	Asse	50.9094	4.2005
rta	Ath	50.646122	3.7703629999999997
rta	Athens	37.987832	23.726319
rta	Auckland	-36.8314	174.7606
rta	Austria	47.5162	14.5501
rta	Auvergne Rhone Alpes	45.126511	5.4807239999999995
rta	Auvergne-Rhône-Alpes	45.4471	4.3853
rta	Baden-Wuerttemberg	48.712618	9.134030000000001
rta	Bahia	-12.5797	-41.7007
rta	Balikesir	39.650196	27.88958
rta	Bangkok	13.798471	100.590834
rta	Baranya	46.0485	18.2719
rta	Barcelona	41.394769000000004	2.173828
rta	Basel	47.559197999999995	7.59064
rta	Basel-Stadt	47.557238	7.5956660000000005
rta	Basque Country	42.9896	-2.6189
rta	Bavaria	48.1382614	11.5845093
rta	Beersel	50.7669	4.3085
rta	Beijing	40.07132	116.406908
rta	Belgium	50.707735	4.677726
rta	Beringen	51.064161999999996	5.224601
rta	Berloz	50.703886	5.2021120000000005
rta	Bern	46.855135	7.570549000000001
rta	Bierbeek	50.836502	4.771272
rta	Blegny	50.676412	5.704848999999999
rta	Blida	36.483290000000004	2.808751
rta	Bogota	4.6293370000000005	-74.095588
rta	Bonheiden	51.01931	4.568699
rta	Boufarik	36.577090000000005	2.9141369999999998
rta	Bourgogne-France-Comté	47.2805	4.9994
rta	Boussu	50.425366	3.7976919999999996
rta	Boutersem	50.833781	4.839596
rta	Braine-l alleud	50.667307	4.358179
rta	Bratislava	48.1486	17.1077
rta	Brazil	-14.2350	-51.9253
rta	Bree	51.138202	5.631876999999999
rta	Bretagne	48.202	2.9326
rta	British Columbia	54.01098199999999	-124.74518300000001
rta	Brussels	50.8503	4.3517
rta	Budapest	47.482728	19.084269
rta	Buryat Republic	52.311710999999995	108.91673200000001
rta	California	36.357039	-119.69018200000001
rta	Canakkale	40.030844	26.733769
rta	Canary Islands	28.2916	-16.6291
rta	Castel di Sangro	41.784	14.108
rta	Castilla La Mancha	39.2796	-3.0977
rta	Castilla Y León	41.8357	-4.3976
rta	Castilla y Leon	41.8357	-4.3976
rta	Catalunya	41.834815	1.606414
rta	Central Hungary	47.360008	19.252798000000002
rta	Centre-Val de Loire	47.481221000000005	1.698793
rta	Chaineux	50.6317	5.8344
rta	Charleroi	50.418039	4.440646
rta	Chechen Republic	43.4023	45.7187
rta	Chelyabinsk Region	54.4319	60.8789
rta	Chiba	35.463961	140.223882
rta	Chihuahua	28.633	-106.0691
rta	China	33.394333	104.689839
rta	Chongqing	29.858721000000003	107.375623
